Chunk,Hex Data
1903,a137
1904,2fe9
1905,0093
1906,ca2a
1907,bd57
1908,c78a
1909,ef2a
1910,52e6
1911,7cd2
1912,0d73
1913,ed12
1914,56bc
1915,c626
1916,d939
1917,f4fa
1918,1689
1919,4fa1
1920,f98d
1921,d3de
1922,6e0d
1923,194a
1924,1a88
1925,db8d
1926,361d
1927,ee38
1928,a863
1929,6bf0
1930,46e5
1931,b067
1932,2b8a
1933,5b4b
1934,6bc4
1935,ca27
1936,b0a9
1937,bb7b
1938,a74d
1939,d15c
1940,12d9
1941,579b
1942,5df4
1943,c6dd
1944,db31
1945,8d79
1946,f759
1947,fc3c
1948,c716
1949,e0ca
1950,4f24
1951,bc4f
1952,067b
1953,5fc5
1954,2d19
1955,a728
1956,2393
1957,0a6f
1958,4206
1959,e7cd
1960,1a77
1961,9ab4
1962,5253
1963,ded2
1964,7a22
1965,c96c
1966,378c
1967,521e
1968,1b3d
1969,0dc9
1970,44e3
1971,8a37
1972,ff4c
1973,167d
1974,563f
1975,60b3
1976,8389
1977,975d
1978,3d6f
1979,b379
1980,1851
1981,a0e7
1982,6966
1983,a3a7
1984,2079
1985,1e42
1986,6512
1987,95f7
1988,aa50
1989,94c5
1990,29d5
1991,2db7
1992,e0b5
1993,bedc
1994,e26c
1995,1488
1996,7451
1997,fd32
1998,480a
1999,a67f
2000,2689
2001,7760
2002,1316
2003,c9f2
2004,14ab
2005,9b1b
2006,3e5f
2007,9a2c
2008,c686
2009,c955
2010,7b2f
2011,3fe7
2012,551c
2013,df1d
2014,1d91
2015,5698
2016,825d
2017,d27d
2018,4a5e
2019,3cb9
2020,8811
2021,36d6
2022,d5ca
2023,2a21
2024,525d
2025,2b82
2026,edc2
2027,cc49
2028,6f38
2029,af3a
2030,d9f6
2031,656d
2032,a7dc
2033,5c8c
2034,a244
2035,ffb1
2036,acc0
2037,a531
2038,9464
2039,56b0
2040,3cca
2041,9c82
2042,13c2
2043,e0d7
2044,364e
2045,93b3
2046,6b0e
2047,05db
2048,1218
2049,46e2
2050,2921
2051,7bc4
2052,76eb
2053,7e1c
2054,a327
2055,9abd
2056,5366
2057,beb3
2058,d455
2059,1079
2060,aeb2
2061,d689
2062,860b
2063,ef38
2064,7923
2065,6a03
2066,e837
2067,7a5e
2068,dabe
2069,d898
2070,ef11
2071,4107
2072,c9f0
2073,b361
2074,9cc0
2075,6103
2076,a7bd
2077,c8ec
2078,c8d0
2079,1a5a
2080,d3e8
2081,ed78
2082,0645
2083,f375
2084,4bd6
2085,520c
2086,39d8
2087,c0ba
2088,d61e
2089,d6a3
2090,d4ac
2091,3f5f
2092,ce0b
2093,7fff
2094,e779
2095,7031
2096,6f7e
2097,60b5
2098,99b4
2099,8acb
2100,be9c
2101,e560
2102,22a0
2103,169f
2104,273b
2105,9ce9
2106,8607
2107,a36b
2108,9fb4
2109,8004
2110,e86e
2111,aecc
2112,7e38
2113,4f14
2114,a19d
2115,1d6f
2116,7c6a
2117,5dfa
2118,2e05
2119,54a5
2120,be06
2121,65d8
2122,6ddb
2123,0688
2124,9a5f
2125,bc75
2126,86de
2127,7032
2128,a272
2129,b240
2130,7c3f
2131,4000
2132,f8f9
2133,1e6c
2134,6498
2135,a58e
2136,80e3
2137,2062
2138,68cf
2139,32c3
2140,f918
2141,825a
2142,5513
2143,a772
2144,8252
2145,56c7
2146,840e
2147,5a41
2148,714e
2149,c44f
2150,6fa2
2151,d6fd
2152,1bdc
2153,a1f0
2154,113b
2155,dc84
2156,e4b0
2157,01c1
2158,98d6
2159,f803
